Witnesses (0<=n<99),Number of lies
(1,1),24
(0,0),21
(0,1),21
(0,2),21
(0,3),21
(0,4),21
(0,5),21
(0,6),21
(0,7),21
(0,8),21
(0,9),21
(0,10),21
(0,11),21
(0,12),21
(0,13),21
(0,14),21
(0,15),21
(0,16),21
(0,17),21
(0,18),21
(0,19),21
(0,20),21
(0,21),21
(0,22),21
(0,23),21
(0,24),21
(0,25),21
(0,26),21
(0,27),21
(0,28),21
(0,29),21
(0,30),21
(0,31),21
(0,32),21
(0,33),21
(0,34),21
(0,35),21
(0,36),21
(0,37),21
(0,38),21
(0,39),21
(0,40),21
(0,41),21
(0,42),21
(0,43),21
(0,44),21
(0,45),21
(0,46),21
(0,47),21
(0,48),21
(0,49),21
(0,50),21
(0,51),21
(0,52),21
(0,53),21
(0,54),21
(0,55),21
(0,56),21
(0,57),21
(0,58),21
(0,59),21
(0,60),21
(0,61),21
(0,62),21
(0,63),21
(0,64),21
(0,65),21
(0,66),21
(0,67),21
(0,68),21
(0,69),21
(0,70),21
(0,71),21
(0,72),21
(0,73),21
(0,74),21
(0,75),21
(0,76),21
(0,77),21
(0,78),21
(0,79),21
(0,80),21
(0,81),21
(0,82),21
(0,83),21
(0,84),21
(0,85),21
(0,86),21
(0,87),21
(0,88),21
(0,89),21
(0,90),21
(0,91),21
(0,92),21
(0,93),21
(0,94),21
(0,95),21
(0,96),21
(0,97),21
(0,98),21
(1,0),21
(2,0),21
(3,0),21
(4,0),21
(5,0),21
(6,0),21
(7,0),21
(8,0),21
(9,0),21
(10,0),21
(11,0),21
(12,0),21
(13,0),21
(14,0),21
(15,0),21
(16,0),21
(17,0),21
(18,0),21
(19,0),21
(20,0),21
(21,0),21
(22,0),21
(23,0),21
(24,0),21
(25,0),21
(26,0),21
(27,0),21
(28,0),21
(29,0),21
(30,0),21
(31,0),21
(32,0),21
(33,0),21
(34,0),21
(35,0),21
(36,0),21
(37,0),21
(38,0),21
(39,0),21
(40,0),21
(41,0),21
(42,0),21
(43,0),21
(44,0),21
(45,0),21
(46,0),21
(47,0),21
(48,0),21
(49,0),21
(50,0),21
(51,0),21
(52,0),21
(53,0),21
(54,0),21
(55,0),21
(56,0),21
(57,0),21
(58,0),21
(59,0),21
(60,0),21
(61,0),21
(62,0),21
(63,0),21
(64,0),21
(65,0),21
(66,0),21
(67,0),21
(68,0),21
(69,0),21
(70,0),21
(71,0),21
(72,0),21
(73,0),21
(74,0),21
(75,0),21
(76,0),21
(77,0),21
(78,0),21
(79,0),21
(80,0),21
(81,0),21
(82,0),21
(83,0),21
(84,0),21
(85,0),21
(86,0),21
(87,0),21
(88,0),21
(89,0),21
(90,0),21
(91,0),21
(92,0),21
(93,0),21
(94,0),21
(95,0),21
(96,0),21
(97,0),21
(98,0),21
(1,74),5
(1,76),5
(1,82),5
(74,1),5
(74,74),5
(74,76),5
(76,1),5
(76,74),5
(76,76),5
(82,1),5
(82,82),5
(1,38),4
(1,62),4
(1,68),4
(1,79),4
(22,62),4
(26,82),4
(29,74),4
(38,1),4
(38,38),4
(38,79),4
(44,46),4
(44,89),4
(44,91),4
(46,44),4
(46,89),4
(46,91),4
(53,82),4
(62,1),4
(62,22),4
(62,62),4
(68,1),4
(68,68),4
(74,29),4
(74,82),4
(79,1),4
(79,38),4
(79,79),4
(82,26),4
(82,53),4
(82,74),4
(89,44),4
(89,46),4
(89,91),4
(91,44),4
(91,46),4
(91,89),4
(1,18),3
(1,22),3
(1,26),3
(1,29),3
(1,31),3
(1,34),3
(1,43),3
(1,44),3
(1,46),3
(1,47),3
(1,53),3
(1,57),3
(1,64),3
(1,67),3
(1,69),3
(1,80),3
(1,83),3
(1,86),3
(1,89),3
(1,91),3
(1,92),3
(1,94),3
(1,98),3
(13,38),3
(13,47),3
(13,86),3
(16,29),3
(16,74),3
(17,22),3
