Witness (0<=n<99),Number of lies
1,24
0,21
74,5
76,5
82,5
38,4
62,4
68,4
79,4
18,3
22,3
26,3
29,3
31,3
34,3
43,3
44,3
46,3
47,3
53,3
57,3
64,3
67,3
69,3
80,3
83,3
86,3
89,3
91,3
92,3
94,3
98,3
13,2
16,2
17,2
19,2
32,2
41,2
50,2
51,2
52,2
55,2
56,2
58,2
59,2
61,2
65,2
66,2
71,2
73,2
77,2
78,2
85,2
88,2
93,2
97,2
7,1
8,1
9,1
10,1
11,1
12,1
14,1
20,1
23,1
24,1
28,1
30,1
33,1
36,1
37,1
39,1
40,1
48,1
49,1
54,1
70,1
72,1
75,1
81,1
84,1
87,1
90,1
95,1
96,1
2,0
3,0
4,0
5,0
6,0
15,0
21,0
25,0
27,0
35,0
42,0
45,0
60,0
63,0
